Year,CBPF Name,Total Allocation,Country Code,Country Name
2025,Afghanistan,73438742.96,AFG,Afghanistan
2025,Burkina Faso (RhPF-WCA),8997558.19,BFA,Burkina Faso
2025,CAR,7100000.01,CAR,Central African Republic
2025,Chad (RhPF-WCA),10616291.93,TCD,Tchad
2025,Colombia (RhPF-LAC),0,COL,Colombia
2025,DRC,29796566.58,DRC,Democratic Republic of Congo
2025,Ethiopia,44200860.68,ETH,Ethiopia
2025,Haiti (RhPF-LAC),2162359.06,HTI,Haiti
2025,Lebanon,35093106.64,LBN,Lebanon
2025,Mali (RhPF-WCA),8012337.23,MLI,Mali
2025,Mozambique (RhPF),2287877.25,MOZ,Mozambique
2025,Myanmar,35848382.97,MMR,Myanmar
2025,Niger (RhPF-WCA),4998011.6,NER,Niger
2025,Nigeria,19498025.22,NGA,Nigeria
2025,oPt,65928182.11,PSE,oPt
2025,Pakistan (AP-RHPF),1632784.64,PAK,Pakistan
2025,Somalia,57243515.23,SOM,Somalia
2025,South Sudan,44425815.09,SSD,South
2025,Sudan,135176453,SDN,Sudan
2025,Syria,49657611.71,SYR,Syria
2025,Syria Cross border,49115752.38,SYR,Syria
2025,Ukraine,201206937.3,UKR,Ukraine
2025,Venezuela,8965515.94,VEN,Venezuela
2025,Yemen,22622083.55,YEM,Yemen
